pid,spatial_weight,inference_sqError_real_rate
101,0.954957212405866,NaN
102,0.779318030834444,19.8227672852136
103,0.929687346168606,40.796994281376
104,0.760786631354029,27.5805177687304
105,0.92473812403346,35.3382688926929
106,0.965779451313991,27.2551640698462
107,0.924449820150238,4.69855986336272
108,0.840196144057858,19.3993932477339
109,0.956657598374367,35.2268525904016
110,0.649568529927964,57.4293558773814
111,0.58673078734671,34.7368119311959
112,0.882144016636424,26.8028862879233
113,0.901122626542784,29.5864826372646
114,0.697847783932746,36.4748008237907
115,0.929786662761262,31.8331806763799
116,0.484941097162158,23.2684667982364
117,0.479345595447712,33.2827853072474
118,0.828522666362178,46.1924329007834
119,0.830948743481232,44.8107032787183
120,0.804217660072908,42.5303783955058
122,0.932640459710323,14.8097102918241
123,0.505598987812012,49.7529954721133
124,0.806954800594633,39.3883451330347
125,0.807366779525718,48.4381419579796
126,0.5176688336454,27.7114262908678
127,0.619268517076625,38.4989168931351
128,0.523795624155273,45.5159201248489
129,0.971402557095513,20.2985014909121
130,0.640694300620006,20.9538288711906
131,0.719640932866698,42.8324525695573
132,0.848313037515622,13.4060963275921
133,0.979383495133383,20.8592134129893
134,0.50285320916256,67.4114396022014
135,0.937260600965687,39.4880583927416
139,0.948338708468616,20.4417545342454
140,0.780864232313809,22.4850267868892
141,0.478958187699693,26.0856044291569
142,0.554724230327686,31.0005818115433
143,0.689749401024706,55.2690516677009
144,0.969921938949905,20.7465213005508
145,0.879346570072041,21.6261120004348
146,0.786344452446806,35.7228621056199
147,0.893439441415168,7.84518096295072
148,0.955224492410723,18.1736835097334
149,0.731247965414842,35.3294727743668
150,0.874698101845149,15.6759982899065
151,0.498248851734736,35.5256962073094
152,0.919186182280605,12.7009461236731
